institute_short,program_core,avg_lpa,median_lpa,highest_lpa,placement_pct,source
IIT (BHU) Varanasi,Architecture,10.89,,19.00,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Biochemical Engineering,16.33,,48.60,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Bioengineering,15.04,,36.00,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Ceramic Engineering,17.96,,51.03,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Chemical Engineering,19.29,,75.00,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Industrial Chemistry,13.39,,28.39,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Civil Engineering,15.69,,44.00,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Computer Science and Engineering,33.23,,68.36,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Electronics Engineering,25.93,,66.14,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Electrical Engineering,23.34,,75.00,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Mathematics and Computing,36.62,,220.00,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Mechanical Engineering,16.92,,51.03,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Metallurgical Engineering,15.42,,46.00,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Mining Engineering,17.71,,51.03,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Materials Science and Technology,17.93,,46.00,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Pharmaceutical Engineering & Technology,11.72,,36.00,,IIT BHU placement report 2024-25
IIT (BHU) Varanasi,Engineering Physics,23.26,,50.00,,IIT BHU placement report 2024-25
IIT Gandhinagar,Chemical Engineering,17.52,14.27,,73.33,IIT Gandhinagar B.Tech placement 2024-25
IIT Gandhinagar,Electrical Engineering,23.88,21.00,,72.97,IIT Gandhinagar B.Tech placement 2024-25
IIT Gandhinagar,Mechanical Engineering,14.55,14.00,,79.49,IIT Gandhinagar B.Tech placement 2024-25
IIT Gandhinagar,Materials Engineering,9.62,10.20,,40.00,IIT Gandhinagar B.Tech placement 2024-25
IIT Gandhinagar,Civil Engineering,12.40,13.65,,47.62,IIT Gandhinagar B.Tech placement 2024-25
IIT Gandhinagar,Computer Science and Engineering,23.21,21.50,,86.05,IIT Gandhinagar B.Tech placement 2024-25
IIT Guwahati,Biosciences and Bioengineering,15.97,13.00,51.03,,IIT Guwahati placement 2025
IIT Guwahati,Chemical Engineering,17.14,15.00,44.00,,IIT Guwahati placement 2025
IIT Guwahati,Chemical Science and Technology,20.62,15.00,51.03,,IIT Guwahati placement 2025
IIT Guwahati,Civil Engineering,20.57,17.00,65.70,,IIT Guwahati placement 2025
IIT Guwahati,Computer Science and Engineering,36.94,34.10,125.00,,IIT Guwahati placement 2025
IIT Guwahati,Electronics and Communication Engineering,24.82,23.43,56.00,,IIT Guwahati placement 2025
IIT Guwahati,Electronics and Electrical Engineering,24.38,21.20,56.00,,IIT Guwahati placement 2025
IIT Guwahati,Mathematics and Computing,33.14,25.00,93.00,,IIT Guwahati placement 2025
IIT Guwahati,Mechanical Engineering,18.19,17.00,56.00,,IIT Guwahati placement 2025
IIT Guwahati,Engineering Physics,20.06,16.00,52.47,,IIT Guwahati placement 2025
IIT Guwahati,Data Science and Artificial Intelligence,33.98,25.00,93.00,,IIT Guwahati placement 2025
IIT Indore,Computer Science and Engineering,47.36,40.00,,96.34,IIT Indore placement 2024-25
IIT Indore,Electrical Engineering,24.83,20.10,,90.00,IIT Indore placement 2024-25
IIT Indore,Mechanical Engineering,14.96,13.38,,82.05,IIT Indore placement 2024-25
IIT Indore,Civil Engineering,18.46,20.10,,56.76,IIT Indore placement 2024-25
IIT Indore,Metallurgical Engineering and Materials Science,13.94,13.65,,85.00,IIT Indore placement 2024-25
IIT Roorkee,Chemical Sciences,11.00,11.00,,,IIT Roorkee placement 2024-25
IIT Roorkee,Biosciences and Bioengineering,15.06,14.07,,,IIT Roorkee placement 2024-25
IIT Roorkee,Civil Engineering,16.62,16.62,,,IIT Roorkee placement 2024-25
IIT Roorkee,Geological Technology,18.86,16.38,,,IIT Roorkee placement 2024-25
IIT Roorkee,Chemical Engineering,19.35,17.73,,,IIT Roorkee placement 2024-25
IIT Roorkee,Mechanical Engineering,20.40,19.00,,,IIT Roorkee placement 2024-25
IIT Roorkee,Metallurgical and Materials Engineering,21.39,19.00,,,IIT Roorkee placement 2024-25
IIT Roorkee,Production and Industrial Engineering,21.71,17.73,,,IIT Roorkee placement 2024-25
IIT Roorkee,Geophysical Technology,21.76,16.80,,,IIT Roorkee placement 2024-25
IIT Roorkee,Architecture,22.11,18.60,,,IIT Roorkee placement 2024-25
IIT Roorkee,Engineering Physics,22.45,20.80,,,IIT Roorkee placement 2024-25
IIT Roorkee,Electrical Engineering,28.36,25.75,,,IIT Roorkee placement 2024-25
IIT Roorkee,Electronics and Communication Engineering,30.81,27.51,,,IIT Roorkee placement 2024-25
IIT Roorkee,Computer Science and Engineering,34.05,30.50,,,IIT Roorkee placement 2024-25
IIT Kharagpur,Aerospace Engineering,21.36,20.00,50.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Agricultural and Food Engineering,20.57,17.37,50.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Architecture,16.97,12.50,50.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Biotechnology and Biochemical Engineering,22.05,20.00,46.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Civil Engineering,18.70,16.00,56.79,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Chemical Engineering,22.76,20.00,50.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Computer Science and Engineering,53.46,38.50,220.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Chemistry,21.95,18.00,73.30,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Electronics and Electrical Communication Engineering,33.33,31.00,220.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Electrical Engineering,28.21,26.00,83.20,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Exploration Geophysics,17.95,17.20,27.20,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Applied Geology,21.13,19.72,50.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Economics,25.38,22.00,91.40,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Instrumentation Engineering,26.55,23.90,106.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Industrial and Systems Engineering,23.99,21.00,91.40,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Mathematics and Computing,39.11,36.50,91.40,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Mechanical Engineering,21.74,20.00,50.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Manufacturing Science and Engineering,20.01,19.00,39.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Mining Engineering,19.86,17.22,36.80,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Metallurgical and Materials Engineering,18.17,16.40,42.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Ocean Engineering and Naval Architecture,18.61,17.10,37.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Physics,24.64,22.00,45.60,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kanpur,Aerospace Engineering,20.95,20.21,,,IIT Kanpur placement 2025
IIT Kanpur,Biological Sciences and Bioengineering,23.07,21.05,,,IIT Kanpur placement 2025
IIT Kanpur,Chemical Engineering,20.69,20.11,,,IIT Kanpur placement 2025
IIT Kanpur,Chemistry,14.83,12.00,,,IIT Kanpur placement 2025
IIT Kanpur,Civil Engineering,19.17,18.60,,,IIT Kanpur placement 2025
IIT Kanpur,Computer Science and Engineering,48.15,35.00,,,IIT Kanpur placement 2025
IIT Kanpur,Earth Sciences,25.38,23.76,,,IIT Kanpur placement 2025
IIT Kanpur,Economics,23.03,20.46,,,IIT Kanpur placement 2025
IIT Kanpur,Electrical Engineering,38.12,29.08,,,IIT Kanpur placement 2025
IIT Kanpur,Materials Science and Engineering,20.99,18.37,,,IIT Kanpur placement 2025
IIT Kanpur,Mathematics and Scientific Computing,30.63,27.73,,,IIT Kanpur placement 2025
IIT Kanpur,Mechanical Engineering,21.46,20.11,,,IIT Kanpur placement 2025
IIT Kanpur,Physics,23.03,26.00,,,IIT Kanpur placement 2025
IIT Kanpur,Statistics and Data Science,32.45,35.00,,,IIT Kanpur placement 2025
IIT Jodhpur,Computer Science and Engineering,21.26,16.00,,98.84,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Artificial Intelligence and Data Science,18.22,13.38,,97.96,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Electrical Engineering,15.98,13.00,,88.06,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Mechanical Engineering,14.76,15.10,,75.00,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Materials Engineering,13.21,12.79,,60.87,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Bio Engineering,14.08,12.00,,69.23,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Chemical Engineering,11.66,10.50,,80.95,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Civil and Infrastructure Engineering,11.34,11.25,,57.14,IIT Jodhpur B.Tech placement 2025
IIT Ropar,Chemical Engineering,18.56,18.00,40.00,,IIT Ropar placement 2024-25
IIT Ropar,Civil Engineering,11.92,12.00,20.00,,IIT Ropar placement 2024-25
IIT Ropar,Computer Science and Engineering,31.92,26.75,65.76,,IIT Ropar placement 2024-25
IIT Ropar,Electrical Engineering,25.61,20.11,65.76,,IIT Ropar placement 2024-25
IIT Ropar,Mathematics and Computing,24.01,16.51,65.76,,IIT Ropar placement 2024-25
IIT Ropar,Mechanical Engineering,14.04,14.40,25.25,,IIT Ropar placement 2024-25
IIT Ropar,Metallurgical and Materials Engineering,12.69,12.77,21.00,,IIT Ropar placement 2024-25
IIT Delhi,Biotechnology and Biochemical Engineering,,,,53.57,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Chemical Engineering,,,,80.00,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Civil Engineering,,,,56.79,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Computer Science and Engineering,,,,90.35,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Electrical Engineering,,,,86.99,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Electrical Engineering (Power and Automation),,,,82.46,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Energy Engineering,,,,87.50,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Engineering Physics,,,,56.52,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Engineering and Computational Mechanics,,,,55.26,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Materials Engineering,,,,61.76,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Mathematics and Computing,,,,85.71,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Mechanical Engineering,,,,69.44,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Production and Industrial Engineering,,,,53.33,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Textile Technology,,,,53.09,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
